id,name,created_at,release_year,release_month
7,Pokémon At-Home Relaxation Mascot,2026-07-09 11:33:37.867598+00,2023,11
8,Pokémon Battle Capsule Toys,2026-07-09 11:33:38.365866+00,2021,6
9,Pokémon Diorama Collect Fire & Grass,2026-07-09 11:33:38.675981+00,2023,10
10,Pokémon Forest Series,2026-07-09 11:33:38.918591+00,2017,10
11,Pokémon Funit Mascot,2026-07-09 11:33:39.154228+00,2019,12
12,Pokémon Good Night Friends,2026-07-09 11:33:39.458101+00,2013,6
13,Pokémon Kanto Ippai Collection,2026-07-09 11:33:39.683254+00,2020,12
14,Katazun Fig. Pokémon,2026-07-09 11:33:39.936432+00,2021,6
15,Pokémon Manpuku Pakupaku Mascot,2026-07-09 11:33:40.241335+00,2023,11
16,Pokémon Mini Gacha Machine,2026-07-09 11:33:40.553611+00,2023,4
17,Pokémon Minna de Awa Awa Mascot,2026-07-09 11:33:40.784739+00,2023,7
18,Pokémon Snap Move,2026-07-09 11:33:41.01247+00,2004,10
19,Pokémon Suri Suri Mascot,2026-07-09 11:33:41.243255+00,2022,12
20,Pokémon Yummy Sweets Mascot,2026-07-09 11:33:41.479313+00,2023,5
